concept:name,org:resource,Activity,Resource,@@startevent_concept:name,@@startevent_org:resource,@@startevent_Activity,@@startevent_Resource,start_timestamp,time:timestamp,@@duration,case:concept:name,case:variant,case:variant-index,case:creator
Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,2011-01-06 16:17:00-05:00,2011-01-06 16:25:00-05:00,480.0,47,Variant 1,1,Fluxicon Disco
Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,2011-01-06 16:33:00-05:00,2011-01-06 16:36:00-05:00,180.0,47,Variant 1,1,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-06 21:50:00-05:00,2011-01-06 22:16:00-05:00,1560.0,47,Variant 1,1,Fluxicon Disco
Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,2011-01-09 02:56:00-05:00,2011-01-09 03:24:00-05:00,1680.0,47,Variant 1,1,Fluxicon Disco
Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,2011-01-10 01:43:00-05:00,2011-01-10 04:52:00-05:00,11340.0,47,Variant 1,1,Fluxicon Disco
Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,2011-01-10 11:36:00-05:00,2011-01-10 11:57:00-05:00,1260.0,47,Variant 1,1,Fluxicon Disco
Choose best option,Clement Duchot,Choose best option,Clement Duchot,Choose best option,Clement Duchot,Choose best option,Clement Duchot,2011-01-10 11:57:00-05:00,2011-01-10 11:57:00-05:00,0.0,47,Variant 1,1,Fluxicon Disco
Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,2011-01-11 00:27:00-05:00,2011-01-11 07:05:00-05:00,23880.0,47,Variant 1,1,Fluxicon Disco
Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,2011-01-12 03:41:00-05:00,2011-01-12 03:50:00-05:00,540.0,47,Variant 1,1,Fluxicon Disco
Confirm Purchase Order,Kiu Kan,Confirm Purchase Order,Kiu Kan,Confirm Purchase Order,Kiu Kan,Confirm Purchase Order,Kiu Kan,2011-01-12 11:21:00-05:00,2011-01-12 11:47:00-05:00,1560.0,47,Variant 1,1,Fluxicon Disco
Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,2011-01-14 06:04:00-05:00,2011-01-14 23:18:00-05:00,62040.0,47,Variant 1,1,Fluxicon Disco
Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,2011-01-15 06:35:00-05:00,2011-01-15 06:36:00-05:00,60.0,47,Variant 1,1,Fluxicon Disco
Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,2011-01-15 18:02:00-05:00,2011-01-15 18:03:00-05:00,60.0,47,Variant 1,1,Fluxicon Disco
Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,2011-01-17 00:09:00-05:00,2011-01-17 00:09:00-05:00,0.0,47,Variant 1,1,Fluxicon Disco
Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,2011-01-17 14:35:00-05:00,2011-01-17 14:38:00-05:00,180.0,47,Variant 1,1,Fluxicon Disco
Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,2011-01-17 14:38:00-05:00,2011-01-17 14:38:00-05:00,0.0,47,Variant 1,1,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-01-17 15:28:00-05:00,2011-01-17 15:35:00-05:00,420.0,47,Variant 1,1,Fluxicon Disco
Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,2011-01-06 05:46:00-05:00,2011-01-06 06:03:00-05:00,1020.0,48,Variant 30,30,Fluxicon Disco
Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,2011-01-06 19:01:00-05:00,2011-01-06 19:09:00-05:00,480.0,48,Variant 30,30,Fluxicon Disco
Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,2011-01-06 19:15:00-05:00,2011-01-06 19:17:00-05:00,120.0,48,Variant 30,30,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-01-06 21:29:00-05:00,2011-01-06 21:39:00-05:00,600.0,48,Variant 30,30,Fluxicon Disco
Amend Request for Quotation,Miu Hanwan,Amend Request for Quotation,Miu Hanwan,Amend Request for Quotation,Miu Hanwan,Amend Request for Quotation,Miu Hanwan,2011-01-06 22:23:00-05:00,2011-01-06 22:35:00-05:00,720.0,48,Variant 30,30,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-01-07 04:30:00-05:00,2011-01-07 05:01:00-05:00,1860.0,48,Variant 30,30,Fluxicon Disco
Amend Request for Quotation,Alberto Duport,Amend Request for Quotation,Alberto Duport,Amend Request for Quotation,Alberto Duport,Amend Request for Quotation,Alberto Duport,2011-01-07 05:59:00-05:00,2011-01-07 06:13:00-05:00,840.0,48,Variant 30,30,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-07 07:53:00-05:00,2011-01-07 08:27:00-05:00,2040.0,48,Variant 30,30,Fluxicon Disco
Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,2011-01-08 04:06:00-05:00,2011-01-08 04:33:00-05:00,1620.0,48,Variant 30,30,Fluxicon Disco
Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,2011-01-08 19:03:00-05:00,2011-01-08 22:48:00-05:00,13500.0,48,Variant 30,30,Fluxicon Disco
Analyze Quotation Comparison Map,Tesca Lobes,Analyze Quotation Comparison Map,Tesca Lobes,Analyze Quotation Comparison Map,Tesca Lobes,Analyze Quotation Comparison Map,Tesca Lobes,2011-01-09 05:47:00-05:00,2011-01-09 06:07:00-05:00,1200.0,48,Variant 30,30,Fluxicon Disco
Choose best option,Miu Hanwan,Choose best option,Miu Hanwan,Choose best option,Miu Hanwan,Choose best option,Miu Hanwan,2011-01-09 06:07:00-05:00,2011-01-09 06:07:00-05:00,0.0,48,Variant 30,30,Fluxicon Disco
Settle Conditions With Supplier,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,2011-01-09 09:49:00-05:00,2011-01-09 15:13:00-05:00,19440.0,48,Variant 30,30,Fluxicon Disco
Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,2011-01-09 15:41:00-05:00,2011-01-09 15:51:00-05:00,600.0,48,Variant 30,30,Fluxicon Disco
Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,2011-01-10 00:23:00-05:00,2011-01-10 00:50:00-05:00,1620.0,48,Variant 30,30,Fluxicon Disco
Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,Sean Manney,2011-01-10 20:27:00-05:00,2011-01-11 00:12:00-05:00,13500.0,48,Variant 30,30,Fluxicon Disco
Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,2011-01-11 08:20:00-05:00,2011-01-11 08:21:00-05:00,60.0,48,Variant 30,30,Fluxicon Disco
Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,2011-01-12 02:00:00-05:00,2011-01-12 02:01:00-05:00,60.0,48,Variant 30,30,Fluxicon Disco
Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,2011-01-15 20:09:00-05:00,2011-01-15 20:09:00-05:00,0.0,48,Variant 30,30,Fluxicon Disco
Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,2011-01-16 10:34:00-05:00,2011-01-16 10:41:00-05:00,420.0,48,Variant 30,30,Fluxicon Disco
Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,2011-01-16 10:51:00-05:00,2011-01-16 11:10:00-05:00,1140.0,48,Variant 30,30,Fluxicon Disco
Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,2011-01-16 11:10:00-05:00,2011-01-16 11:10:00-05:00,0.0,48,Variant 30,30,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-01-16 12:01:00-05:00,2011-01-16 12:12:00-05:00,660.0,48,Variant 30,30,Fluxicon Disco
Create Purchase Requisition,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,2011-01-06 09:53:00-05:00,2011-01-06 10:12:00-05:00,1140.0,49,Variant 2,2,Fluxicon Disco
Create Request for Quotation,Elvira Lores,Create Request for Quotation,Elvira Lores,Create Request for Quotation,Elvira Lores,Create Request for Quotation,Elvira Lores,2011-01-06 18:27:00-05:00,2011-01-06 18:40:00-05:00,780.0,49,Variant 2,2,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-06 20:49:00-05:00,2011-01-06 20:59:00-05:00,600.0,49,Variant 2,2,Fluxicon Disco
Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,2011-01-07 12:33:00-05:00,2011-01-07 12:55:00-05:00,1320.0,49,Variant 2,2,Fluxicon Disco
Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,2011-01-08 11:02:00-05:00,2011-01-08 14:53:00-05:00,13860.0,49,Variant 2,2,Fluxicon Disco
Analyze Quotation Comparison Map,Fjodor Kowalski,Analyze Quotation Comparison Map,Fjodor Kowalski,Analyze Quotation Comparison Map,Fjodor Kowalski,Analyze Quotation Comparison Map,Fjodor Kowalski,2011-01-08 21:30:00-05:00,2011-01-08 21:38:00-05:00,480.0,49,Variant 2,2,Fluxicon Disco
Choose best option,Anne Olwada,Choose best option,Anne Olwada,Choose best option,Anne Olwada,Choose best option,Anne Olwada,2011-01-08 21:38:00-05:00,2011-01-08 21:38:00-05:00,0.0,49,Variant 2,2,Fluxicon Disco
Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,2011-01-09 02:35:00-05:00,2011-01-09 06:38:00-05:00,14580.0,49,Variant 2,2,Fluxicon Disco
Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,2011-01-09 08:38:00-05:00,2011-01-09 08:49:00-05:00,660.0,49,Variant 2,2,Fluxicon Disco
Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,2011-01-10 00:50:00-05:00,2011-01-10 01:03:00-05:00,780.0,49,Variant 2,2,Fluxicon Disco
Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,2011-01-10 17:07:00-05:00,2011-01-11 00:12:00-05:00,25500.0,49,Variant 2,2,Fluxicon Disco
Release Purchase Order,Immanuel Karagianni,Release Purchase Order,Immanuel Karagianni,Release Purchase Order,Immanuel Karagianni,Release Purchase Order,Immanuel Karagianni,2011-01-11 07:18:00-05:00,2011-01-11 07:19:00-05:00,60.0,49,Variant 2,2,Fluxicon Disco
Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,2011-01-11 10:59:00-05:00,2011-01-11 11:00:00-05:00,60.0,49,Variant 2,2,Fluxicon Disco
Send Invoice,Karen Clarens,Send Invoice,Karen Clarens,Send Invoice,Karen Clarens,Send Invoice,Karen Clarens,2011-01-11 20:23:00-05:00,2011-01-11 20:23:00-05:00,0.0,49,Variant 2,2,Fluxicon Disco
Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,2011-01-12 10:42:00-05:00,2011-01-12 10:47:00-05:00,300.0,49,Variant 2,2,Fluxicon Disco
Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-01-12 10:47:00-05:00,2011-01-12 10:47:00-05:00,0.0,49,Variant 2,2,Fluxicon Disco
Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,2011-01-12 11:13:00-05:00,2011-01-12 11:26:00-05:00,780.0,49,Variant 2,2,Fluxicon Disco
Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,2011-01-06 12:38:00-05:00,2011-01-06 13:05:00-05:00,1620.0,50,Variant 2,2,Fluxicon Disco
Create Request for Quotation,Penn Osterwalder,Create Request for Quotation,Penn Osterwalder,Create Request for Quotation,Penn Osterwalder,Create Request for Quotation,Penn Osterwalder,2011-01-06 15:44:00-05:00,2011-01-06 15:50:00-05:00,360.0,50,Variant 2,2,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-06 20:12:00-05:00,2011-01-06 20:20:00-05:00,480.0,50,Variant 2,2,Fluxicon Disco
Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,2011-01-07 21:01:00-05:00,2011-01-07 21:34:00-05:00,1980.0,50,Variant 2,2,Fluxicon Disco
Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,2011-01-08 01:07:00-05:00,2011-01-08 03:56:00-05:00,10140.0,50,Variant 2,2,Fluxicon Disco
Analyze Quotation Comparison Map,Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,2011-01-08 11:03:00-05:00,2011-01-08 11:21:00-05:00,1080.0,50,Variant 2,2,Fluxicon Disco
Choose best option,Clement Duchot,Choose best option,Clement Duchot,Choose best option,Clement Duchot,Choose best option,Clement Duchot,2011-01-08 11:21:00-05:00,2011-01-08 11:21:00-05:00,0.0,50,Variant 2,2,Fluxicon Disco
Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,2011-01-08 17:46:00-05:00,2011-01-09 01:50:00-05:00,29040.0,50,Variant 2,2,Fluxicon Disco
Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,2011-01-09 07:32:00-05:00,2011-01-09 07:44:00-05:00,720.0,50,Variant 2,2,Fluxicon Disco
Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,2011-01-10 01:03:00-05:00,2011-01-10 01:16:00-05:00,780.0,50,Variant 2,2,Fluxicon Disco
Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,2011-01-10 15:55:00-05:00,2011-01-12 00:55:00-05:00,118800.0,50,Variant 2,2,Fluxicon Disco
Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,2011-01-12 08:26:00-05:00,2011-01-12 08:27:00-05:00,60.0,50,Variant 2,2,Fluxicon Disco
Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,2011-01-12 22:07:00-05:00,2011-01-12 22:08:00-05:00,60.0,50,Variant 2,2,Fluxicon Disco
Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,2011-01-17 05:35:00-05:00,2011-01-17 05:35:00-05:00,0.0,50,Variant 2,2,Fluxicon Disco
Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,2011-01-17 19:53:00-05:00,2011-01-17 19:57:00-05:00,240.0,50,Variant 2,2,Fluxicon Disco
Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-01-17 19:57:00-05:00,2011-01-17 19:57:00-05:00,0.0,50,Variant 2,2,Fluxicon Disco
Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,2011-01-17 20:55:00-05:00,2011-01-17 21:05:00-05:00,600.0,50,Variant 2,2,Fluxicon Disco
Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,2011-01-07 03:53:00-05:00,2011-01-07 04:42:00-05:00,2940.0,51,Variant 13,13,Fluxicon Disco
Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,2011-01-07 20:48:00-05:00,2011-01-07 20:55:00-05:00,420.0,51,Variant 13,13,Fluxicon Disco
Create Request for Quotation,Maris Freeman,Create Request for Quotation,Maris Freeman,Create Request for Quotation,Maris Freeman,Create Request for Quotation,Maris Freeman,2011-01-07 20:58:00-05:00,2011-01-07 21:01:00-05:00,180.0,51,Variant 13,13,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-01-08 03:05:00-05:00,2011-01-08 03:34:00-05:00,1740.0,51,Variant 13,13,Fluxicon Disco
Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,2011-01-08 04:31:00-05:00,2011-01-08 04:44:00-05:00,780.0,51,Variant 13,13,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-01-10 17:44:00-05:00,2011-01-10 18:14:00-05:00,1800.0,51,Variant 13,13,Fluxicon Disco
Amend Request for Quotation,Christian Francois,Amend Request for Quotation,Christian Francois,Amend Request for Quotation,Christian Francois,Amend Request for Quotation,Christian Francois,2011-01-10 19:06:00-05:00,2011-01-10 19:14:00-05:00,480.0,51,Variant 13,13,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-12 02:37:00-05:00,2011-01-12 02:57:00-05:00,1200.0,51,Variant 13,13,Fluxicon Disco
Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,2011-01-12 07:34:00-05:00,2011-01-12 07:54:00-05:00,1200.0,51,Variant 13,13,Fluxicon Disco
Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,2011-01-12 08:05:00-05:00,2011-01-12 14:09:00-05:00,21840.0,51,Variant 13,13,Fluxicon Disco
Analyze Quotation Comparison Map,Immanuel Karagianni,Analyze Quotation Comparison Map,Immanuel Karagianni,Analyze Quotation Comparison Map,Immanuel Karagianni,Analyze Quotation Comparison Map,Immanuel Karagianni,2011-01-12 20:45:00-05:00,2011-01-12 20:59:00-05:00,840.0,51,Variant 13,13,Fluxicon Disco
Choose best option,Nico Ojenbeer,Choose best option,Nico Ojenbeer,Choose best option,Nico Ojenbeer,Choose best option,Nico Ojenbeer,2011-01-12 20:59:00-05:00,2011-01-12 20:59:00-05:00,0.0,51,Variant 13,13,Fluxicon Disco
Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,2011-01-12 23:37:00-05:00,2011-01-13 08:10:00-05:00,30780.0,51,Variant 13,13,Fluxicon Disco
Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,2011-01-14 00:07:00-05:00,2011-01-14 00:15:00-05:00,480.0,51,Variant 13,13,Fluxicon Disco
Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,2011-01-14 05:19:00-05:00,2011-01-14 05:25:00-05:00,360.0,51,Variant 13,13,Fluxicon Disco
Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,2011-01-14 17:22:00-05:00,2011-01-15 19:16:00-05:00,93240.0,51,Variant 13,13,Fluxicon Disco
Release Purchase Order,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,2011-01-16 02:57:00-05:00,2011-01-16 02:58:00-05:00,60.0,51,Variant 13,13,Fluxicon Disco
Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,2011-01-16 11:25:00-05:00,2011-01-16 11:26:00-05:00,60.0,51,Variant 13,13,Fluxicon Disco
Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,2011-01-17 05:35:00-05:00,2011-01-17 05:35:00-05:00,0.0,51,Variant 13,13,Fluxicon Disco
Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,2011-01-17 19:44:00-05:00,2011-01-17 19:47:00-05:00,180.0,51,Variant 13,13,Fluxicon Disco
Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-01-17 19:47:00-05:00,2011-01-17 19:47:00-05:00,0.0,51,Variant 13,13,Fluxicon Disco
Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,2011-01-17 20:27:00-05:00,2011-01-17 20:37:00-05:00,600.0,51,Variant 13,13,Fluxicon Disco
Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,2011-01-07 06:51:00-05:00,2011-01-07 07:11:00-05:00,1200.0,52,Variant 2,2,Fluxicon Disco
Create Request for Quotation,Elvira Lores,Create Request for Quotation,Elvira Lores,Create Request for Quotation,Elvira Lores,Create Request for Quotation,Elvira Lores,2011-01-07 09:21:00-05:00,2011-01-07 09:30:00-05:00,540.0,52,Variant 2,2,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-07 13:28:00-05:00,2011-01-07 13:47:00-05:00,1140.0,52,Variant 2,2,Fluxicon Disco
